Deck	Side 1 Name	Side 1 Description	Side 1 Keywords	Side 1 HP	Side 1 Nemesis Icon	Side 1 Setup	Side 1 Game Text	Side 1 Advanced	Side 2 Name	Side 2 Description	Side 2 Keywords	Side 2 HP	Side 2 Nemesis Icon	Side 2 Game Text	Side 2 Advanced	Set	Difficulty
Akash'Bhuta	Akash'Bhuta	Chaos-Bound Creator	Villain	200	The Argent Adept	Discover (H) minus 1 Primeval Limb cards.	When the Environment trash is shuffled into the Environment deck, Akash'Bhuta regains (H) HP. Then: [flip] After any non-Hero target is played, discard the top card of the Environment deck. END PHASE Discover 1 Primeval Limb card.	END PHASE Discard the top card of the Environment deck. Play the top card of the Environment deck.	Akash'Bhuta	Avatar of Destruction	Villain	200	The Argent Adept	When the Environment trash is shuffled into the Environment deck, Akash'Bhuta regains (H) HP. Then: [flip] After any non-Hero target is destroyed, discard the top card of the Environment deck. END PHASE Akash'Bhuta deals each non-Villain target 2 fire damage.	After any Primeval Limb card is destroyed, Akash'Bhuta deals the Hero target with the highest HP X melee damage, where X is the destroyed card's maximum HP divided by 2.	Core Game	4
Ambuscade	Ambuscade	Hunter of the Mighty	Villain	70	Haka	Discover (H) minus 2 Device cards.	After a Villain One-Shot card is played, [flip]. START PHASE Ambuscade deals the Hero target with the highest HP (H) minus 2 projectile damage. END PHASE Ambuscade deals the Hero target with the highest HP (H) minus 2 projectile damage.	END PHASE Play the top card of the Villain deck.	Ambuscade	Invisible Stalker	Villain	70	Haka	Ambuscade is immune to damage. After a Villain One-Shot card is played or discarded, [flip]. On each Hero's START PHASE, that Hero may discard 1 card to reveal the top card of the Villain deck. If it is a One-Shot card, play it. Otherwise, bury it. END PHASE Ambuscade deals the Hero target with the lowest HP (H) melee damage. Then, if there are fewer than (H) Villain Device cards in play, discover 1 Device card.	+1 damage dealt by Villain Device cards.	Rook City Renegades	5
Apex	Apex	King by Right of Claw	Villain, Werewolf	50	Alpha	Discover (H) minus 2 Werewolf cards.	-1 damage dealt to Apex by targets with fewer HP than this card. +1 damage dealt by Apex. START PHASE If Apex is not the Werewolf card with the highest HP, [flip]. Otherwise, Apex regains X HP, where X is the number of Werewolf cards in play. END PHASE Apex deals the Hero target with the highest HP (H) minus 2 melee damage. Apex deals each Werewolf card other than himself 1 melee damage.	Whenever a Villain target would deal damage to another Villain target, redirect that damage to the Hero target with the highest HP.	Apex	Once and Future King	Villain, Werewolf	50	Alpha	-1 damage dealt to Apex by targets with fewer HP than this card. +1 damage dealt by the Werewolf card with the highest HP. START PHASE If Apex is the Werewolf card with the highest HP, [flip]. END PHASE Discover 1 Werewolf card. Apex deals each target other than himself 2 melee damage. Apex regains X HP, where X is the number of targets dealt damage this way.	After a Villain target deals damage, it regains 2 HP.	Rook City Renegades	7
Apostate	Apostate	Sowing Seeds of Untruth	Villain	66	Fanatic	Discover 1 Relic card, 1 Demon card, and 1 Lie card, playing that Lie card in the play area of the Hero character with the lowest HP.	Whenever a Lie card is played, play it in the play area of the Hero character with the fewest Lie cards and the lowest HP. -2 damage dealt to Apostate by Hero targets in play areas with Lie cards. If there are ever (H) or more cards under this card, summon Condemnation, then (flip). END PHASE Apostate deals the Hero character with the lowest HP 1 sonic damage and 1 psychic damage. Discover (H) minus 2 Lie cards. If no cards are played this way, Apostate deals each non-Villain target 3 psychic damage.	END PHASE Discover (H) minus 2 target cards.	Apostate	Culmination of Deception	Villain	66	Fanatic	Whenever a Lie card is played, play it in the play area of the Hero character with the lowest HP. After a card is put under this card, Apostate deals himself 6 fixed psychic damage. After a Villain Relic card is played, activate the **End Phase** effect on that card, then destroy that card. After a Villain Demon card is destroyed, Apostate regains (H) HP. START PHASE Play the top card of the Villain deck. END PHASE Apostate deals the (H) minus 1 Heo targets with the highest HP X infernal damage each, where X is the number of cards under this card.	Whenever Apostate would be dealt damage, redirect that damage to the Villain target with the lowest HP.	Disparation	3
Baron Blade	Baron Blade	Impulsion Beam Inventor	Villain	40	Legacy	Summon Mobile Defense Platform.	When Baron Blade would be destroyed, instead: [flip] START PHASE If there are 15 or more cards in the Villain trash, Baron Blade's TerraLunar Impulsion Beam activates, pulling the moon into the Earth. Game Over.	END PHASE Discard the top (H) minus 2 cards of the Villain deck.	Baron Blade	Armored Mad Scientist	Villain	30	Legacy	When flipped to this side, destroy all Villain Ongoing cards and set Baron Blade's HP to 30. END PHASE Baron Blade deals the Hero target with the highest HP (H) melee damage. Baron Blade deals each Hero target 1 energy damage.	-2 damage dealt to Baron Blade.	Core Game	1
Citizen Dawn	Citizen Dawn	First Among Citizens of the Sun	Villain, Citizen	80	Expatriette	Discover (H) minus 1 Citizen cards.	START PHASE If there are at least (H) Citizen cards in the Villain trash: [flip] Citizen Dawn only flips once this way per game. END PHASE Citizen Dawn deals the Hero target with the highest HP (H) minus 2 energy damage.	+1 damage dealt by Citizen cards.	Citizen Dawn	Apotheosis of the Sun's Power	Villain, Citizen	80	Expatriette	Citizen Dawn is immune to damage. START PHASE If there are at least (H) Citizen cards in play: [flip] END PHASE Discover 1 Citizen card.	END PHASE Citizen Dawn deals each target 1 energy damage.	Core Game	5
GloomWeaver	GloomWeaver	Madness Awakening	Villain	100	NightMist	Discover 1 Relic card. Discover (H) minus 2 Cultists cards.	Whenever a Chosen card is destroyed, put it under this card. If there are ever (H) or more cards under this card, you win! START PHASE If there are 3 or more Relic cards in the Villain play area, [flip]. If not, reveal the top card of the Villain deck. If it is a Chosen or Relic card, play it. Otherwise, discard it. END PHASE GloomWeaver deals each non-Villain target 1 psychic damage.	END PHASE Bury the Villain trash. Discover 1 target card.	GloomWeaver	Demon-God Incarnate	Villain	100	NightMist	When flipped to this side, destroy all cards under this card. GloomWeaver regains (H) HP for each card destroyed this way. START PHASE Destroy each Cultists card. For each card destroyed this way, GloomWeaver regains (H) HP. END PHASE GloomWeaver deals the 2 Hero targets with the highest HP (H) irreducible infernal damage each.	END PHASE Play the top card of the Villain deck.	Rook City Renegades	8
Grand Warlord Voss	Grand Warlord Voss	Conquering Alien Warlord	Villain, Thorathian	90	Tempest	Discover (H) Gene-Bound cards.	-2 damage to Grand Warlord Voss for each Gene-Bound card in play. START PHASE If there are no Gene-Bound cards in play: [flip] START PHASE If there are 10 or more Villain targets in play, the planet has been overrun by the Thorathian Army. Grand Warlord Voss has conquered the Earth. Game Over.	+1 damage dealt by Villain targets.	Grand Warlord Voss	Super-Thorathian Warrior	Villain, Thorathian	90	Tempest	When this card flips to this side, discover 1 Device card. START PHASE If there are 2 or more Gene-Bound cards in play: [flip] START PHASE Reveal the top card of the Villain deck. If it is a Gene-Bound card, play it. Otherwise, return it to the top of the deck. END PHASE Grand Warlord Voss deals the Hero target with the highest HP (H) minus 1 energy damage. Grand Warlord Voss deals the Hero target with the lowest HP (H) minus 2 fire damage.	END PHASE Destroy (H) minus 2 Hero Ongoing and/or Item cards.	Core Game	8
Grimm	Grimm	Humble Narrator	Villain	120	[Grimm]	Discover 1 Role card, playing it in the play area of the Hero character with the lowest HP. Add 1 token to that Role card.	Whenever a Role card is played, play it in the play area of the Hero character with the highest HP that has no Role cards. If each active Hero play area already has a Role card, play it in the Villain play area. After a PART is activated on a Role card, add 1 token to that Role card. After a Hero is incapacitated, bury any Role cards in their play area. START PHASE If there are 7 or more tokens on 1 Role card in the Villain play area, Grimm controls the story, and the Heroes have failed. **Game Over.** Otherwise, bury each Role card in the Villain play area other than the Role card with the most tokens on it. END PHASE If each active Hero play area has a Role card with at least 1 token on it, (flip). Otherwise, discover (H) minus 2 Role cards, then discover 1 target card from the Environment deck.	END PHASE Grimm regains X HP, where X is the number of Role cards in play. Then, if Grimm is at his maximum HP, play the top card of the Villain deck.	Grimm	Diabolical Director	Villain	120	[Grimm]	Whenever a PART on a Role card in a Hero play area would be activated, that Hero may activate the RESIST on that card instead. After a PART is activated on a Role card, add 1 token to that Role card. After a RESIST is activated on a Role card, remove 1 token from 1 Role card in a Hero play area. After a Hero is incapacitated, bury any Role cards in their play area. START PHASE If there are 3 or more tokens on a Role card in a Hero play area, the Heroes have forgotten their true selves and now only live to play their roles. **Game Over.** Otherwise, discover 1 One-Shot card. END PHASE Bury each Role card in the Villain play area, other than the Role card with the most tokens on it. Then, if any active Hero play area does not have a Role card with at least 1 token on it, (flip).	After a RESIST is activated on a Role card, Grimm deals 1 Hero character in the play area with that Role card 4 infernal damage.	Disparation	3
Iron Legacy	Iron Legacy	Ironclad Tyrant	Villain	32	[Iron Legacy]	Discover (H) minus 1 Ongoing cards.	Villain Ongoing cards gain the keyword "Indestructible". After Iron Legacy is dealt damage, if at least 5 damage has been dealt to Iron Legacy this turn, bury the first Villain Ongoing card in play and (flip). END PHASE Iron Legacy deals each Hero character 3 melee damage. If there are (H) or more Villain Ongoing cards in play, bury the first Villain Ongoing card in play and Iron Legacy deals the Hero target with the highest HP (H) melee damage.	After the first time Iron Legacy is dealt damage each turn, reveal the top card of the Villain deck. If it is an Ongoing card, play it. Otherwise, discard it and Iron Legacy regains 2 HP.	Iron Legacy	Desperate Measures	Villain	32	[Iron Legacy]	-1 damage dealt to Iron Legacy. START PHASE If Iron Legacy has 20 or more HP, (flip). Otherwise, play the top card of the Villain deck. END PHASE Discover 1 Ongoing card. Iron Legacy regains (H) HP. Iron Legacy deals the Hero character with the lowest HP (H) projectile damage.	END PHASE Iron Legacy deals the Hero target with the highest HP 2 melee damage. If no damage was dealt this way, destroy (H) Hero Ongoing and/or Item cards.	Disparation	8
